age_group,gender,city,toilet_cleanliness,toilet_safety,toilet_features,service_use,service_use_freq,transport_satisfaction,transport_suggestions,park_visiting,park_visit_freq,park_amenities,park_issues,transport_safety,park_suggestions,library_satisfaction,library_visit_freq,local_service_satisfaction,library_suggestions,local_service_suggestions,full_feedback,clean_text
18-35 ,Female,Palamaner,Good,Somewhat unsafe,Accessible facilities for people with disabilities,Yes,A few times a week,Neutral,More frequent buses/trains,Sometimes,Increased programming and events,Picnic area,Maintenance and cleanliness,No,Electric vehicle charging stations,Satisfied,Never,Neutral,"DIY workshop(crafting,painting)",Invest in technology,"More frequent buses/trains Electric vehicle charging stations DIY workshop(crafting,painting) Invest in technology Neutral Good Somewhat unsafe Yes Neutral",frequent bus train electric vehicle charge station diy painting invest technology neutral good somewhat unsafe yes neutral
18-35 ,Female,Mysuru,Fair,Very safe,Accessible facilities for people with disabilities,No,Once a week,Unsatisfied,Increased safety and security,No,More amenities,Sports facilities,Accessibility and inclusivity,No,Electric vehicle charging stations,Satisfied,Weekly,Very Dissatisfied,"DIY workshop(crafting,painting)",Improve customer service,"Increased safety and security Electric vehicle charging stations DIY workshop(crafting,painting) Improve customer service Very Dissatisfied Fair Very safe No Unsatisfied",increase safety security electric vehicle charge station diy painting improve customer service dissatisfied fair safe unsatisfied
36-50 ,Female,Palamaner,Good,Somewhat safe,Accessible facilities for people with disabilities,No,A few times a week,Neutral,More frequent buses/trains,No,More amenities,Walking trails,Crowding and noise,No,Electric vehicle charging stations,Neutral,Rarely,Very Dissatisfied,"DIY workshop(crafting,painting)",Invest in technology,"More frequent buses/trains Electric vehicle charging stations DIY workshop(crafting,painting) Invest in technology Very Dissatisfied Good Somewhat safe No Neutral",frequent bus train electric vehicle charge station diy painting invest technology dissatisfied good somewhat safe neutral
36-50 ,Male,Mysuru,Poor,Very safe,Comfortable seating areas,Yes,Once a week,Satisfied,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Picnic area,Safety and security,No,Public restrooms,Very Satisfied,Monthly,Neutral,"DIY workshop(crafting,painting)",Increase transparency,"Cleaner, more comfortable vehicles Public restrooms DIY workshop(crafting,painting) Increase transparency Neutral Poor Very safe Yes Satisfied",clean comfortable vehicle public restroom diy painting increase transparency neutral poor safe yes satisfied
51-70 ,Male,Hyderabad,Excellent,Neutral,Accessible facilities for people with disabilities,Yes,Everyday,Neutral,Reduced fares or free transfers,Yes,Better maintenance and cleanliness,Sports facilities,Safety and security,Yes,Sports equipment rentals,Dissatisfied,Weekly,Dissatisfied,E book access,Improve customer service,Reduced fares or free transfers Sports equipment rentals E book access Improve customer service Dissatisfied Excellent Neutral Yes Neutral,reduce fare free transfer sport equipment rental e book access improve customer service dissatisfied excellent neutral yes neutral
51-70 ,Male,Chennai,Poor,Somewhat safe,Baby-changing facilities,No,Everyday,Satisfied,Increased safety and security,Sometimes,More amenities,Walking trails,Maintenance and cleanliness,No,Sports equipment rentals,Very dissatisfied,Monthly,Very Dissatisfied,E book access,Improve customer service,Increased safety and security Sports equipment rentals E book access Improve customer service Very Dissatisfied Poor Somewhat safe No Satisfied,increase safety security sport equipment rental e book access improve customer service dissatisfied poor somewhat safe satisfied
51-70 ,Male,Bengaluru,Fair,Very safe,Free Wi-Fi,Yes,A few times a week,Satisfied,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Sports facilities,Crowding and noise,Sometimes,Sports equipment rentals,Satisfied,Monthly,Neutral,E book access,Increase transparency,"Cleaner, more comfortable vehicles Sports equipment rentals E book access Increase transparency Neutral Fair Very safe Yes Satisfied",clean comfortable vehicle sport equipment rental e book access increase transparency neutral fair safe yes satisfied
51-70 ,Female,Chennai,Good,Somewhat unsafe,Comfortable seating areas,No,Once a week,Satisfied,"Cleaner, more comfortable vehicles",No,More amenities,Sports facilities,Lack of amenities,Sometimes,Public restrooms,Very Satisfied,Quarterly,Neutral,E book access,Invest in technology,"Cleaner, more comfortable vehicles Public restrooms E book access Invest in technology Neutral Good Somewhat unsafe No Satisfied",clean comfortable vehicle public restroom e book access invest technology neutral good somewhat unsafe satisfied
18-35 ,Female,Chennai,Good,Somewhat safe,Accessible facilities for people with disabilities,Yes,Once a week,Unsatisfied,Reduced fares or free transfers,No,Improved lighting and safety,Sports facilities,Accessibility and inclusivity,Yes,Public restrooms,Neutral,Quarterly,Satisfied,Language learning programs,Enhance community engagement,Reduced fares or free transfers Public restrooms Language learning programs Enhance community engagement Satisfied Good Somewhat safe Yes Unsatisfied,reduce fare free transfer public restroom language learning program enhance community engagement satisfied good somewhat safe yes unsatisfie
Oct-18,Female,Palamaner,Fair,Somewhat unsafe,Free Wi-Fi,No,A few times a week,Neutral,Reduced fares or free transfers,Yes,Increased programming and events,Picnic area,Crowding and noise,Yes,Electric vehicle charging stations,Neutral,Monthly,Very Dissatisfied,E book access,Increase transparency,Reduced fares or free transfers Electric vehicle charging stations E book access Increase transparency Very Dissatisfied Fair Somewhat unsafe No Neutral,reduce fare free transfer electric vehicle charge station e book access increase transparency dissatisfied fair somewhat unsafe neutral
18-35 ,Male,Bengaluru,Fair,Neutral,Free Wi-Fi,Yes,Never,Unsatisfied,Increased safety and security,No,More amenities,Restrooms,Accessibility and inclusivity,No,Electric vehicle charging stations,Very Satisfied,Quarterly,Satisfied,"DIY workshop(crafting,painting)",Improve customer service,"Increased safety and security Electric vehicle charging stations DIY workshop(crafting,painting) Improve customer service Satisfied Fair Neutral Yes Unsatisfied",increase safety security electric vehicle charge station diy painting improve customer service satisfied fair neutral yes unsatisfie
Oct-18,Female,Andhra Pradesh,Good,Somewhat safe,Baby-changing facilities,No,A few times a week,Unsatisfied,More frequent buses/trains,No,More amenities,Restrooms,Lack of amenities,No,Sports equipment rentals,Dissatisfied,Weekly,Very Satisfied,Language learning programs,Invest in technology,More frequent buses/trains Sports equipment rentals Language learning programs Invest in technology Very Satisfied Good Somewhat safe No Unsatisfied,frequent bus train sport equipment rental language learning program invest technology satisfied good somewhat safe unsatisfied
36-50 ,Male,Kanakapura,Fair,Somewhat safe,Free Wi-Fi,Yes,Never,Neutral,More frequent buses/trains,No,Increased programming and events,Restrooms,Accessibility and inclusivity,Sometimes,Public restrooms,Dissatisfied,Never,Satisfied,E book access,Enhance community engagement,More frequent buses/trains Public restrooms E book access Enhance community engagement Satisfied Fair Somewhat safe Yes Neutral,frequent bus train public restroom e book access enhance community engagement satisfied fair somewhat safe yes neutral
18-35 ,Male,Hyderabad,Good,Very safe,Comfortable seating areas,Yes,Once a week,Unsatisfied,Reduced fares or free transfers,No,Increased programming and events,Walking trails,Lack of amenities,Yes,Sports equipment rentals,Dissatisfied,Weekly,Satisfied,E book access,Increase transparency,Reduced fares or free transfers Sports equipment rentals E book access Increase transparency Satisfied Good Very safe Yes Unsatisfied,reduce fare free transfer sport equipment rental e book access increase transparency satisfy good safe yes unsatisfie
Oct-18,Male,Mysuru,Fair,Very safe,Comfortable seating areas,No,A few times a week,Satisfied,Reduced fares or free transfers,No,Increased programming and events,Playgrounds,Maintenance and cleanliness,No,Public restrooms,Satisfied,Weekly,Neutral,Language learning programs,Invest in technology,Reduced fares or free transfers Public restrooms Language learning programs Invest in technology Neutral Fair Very safe No Satisfied,reduce fare free transfer public restroom language learning program invest technology neutral fair safe satisfied
