Age Group,Gender,City,Cleanliness of public toilets,Safety of public toilets,Features in public toilets,Public Service Use,Frequency of Public Service Use,Satisfaction of Pulic Transportation,Suggestion for Pulic Transportation,Visting of Local Parks,Frequency of Visting of Local Parks,Important Park amenities,Issues in Park,Safety of Public Transportation,Suggestion for Parks,Satisfaction on Libraries resources,Frequency of Visiting Library,Satisfaction of Local Public Service,Suggestion for Libraries,Suggestion for Local Public Service
36-50 ,Male,Chennai,Poor,Somewhat unsafe,Comfortable seating areas,No,Once a week,Satisfied,Reduced fares or free transfers,Sometimes,Increased programming and events,Sports facilities,Lack of amenities,No,Sports equipment rentals,Dissatisfied,Monthly,Satisfied,E book access,Invest in technology
71-95,Male,Kanakapura,Good,Somewhat safe,Air conditioning or heating,Yes,Once a week,Neutral,Reduced fares or free transfers,Yes,Increased programming and events,Playgrounds,Safety and security,Yes,Sports equipment rentals,Very Satisfied,Monthly,Satisfied,"DIY workshop(crafting,painting)",Invest in technology
36-50 ,Male,Mysuru,Good,Somewhat safe,Baby-changing facilities,No,Never,Neutral,Reduced fares or free transfers,No,Better maintenance and cleanliness,Restrooms,Lack of amenities,No,Electric vehicle charging stations,Dissatisfied,Quarterly,Neutral,E book access,Enhance community engagement
36-50 ,Male,Hyderabad,Fair,Neutral,Comfortable seating areas,No,Once a week,Neutral,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Walking trails,Lack of amenities,Sometimes,Sports equipment rentals,Neutral,Quarterly,Very Dissatisfied,E book access,Improve customer service
18-35 ,Male,Hyderabad,Fair,Neutral,Comfortable seating areas,No,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,More amenities,Sports facilities,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Satisfied,Monthly,Satisfied,Language learning programs,Invest in technology
18-35 ,Male,Hyderabad,Good,Somewhat safe,Free Wi-Fi,No,A few times a week,Satisfied,Reduced fares or free transfers,Sometimes,Increased programming and events,Sports facilities,Lack of amenities,Yes,Electric vehicle charging stations,Very Satisfied,Weekly,Neutral,E book access,Invest in technology
36-50 ,Male,Kanakapura,Good,Neutral,Comfortable seating areas,Yes,Once a week,Satisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Walking trails,Lack of amenities,Yes,Sports equipment rentals,Neutral,Quarterly,Very Satisfied,E book access,Invest in technology
36-50 ,Male,Kanakapura,Good,Neutral,Free Wi-Fi,Yes,Once a week,Neutral,Increased safety and security,No,Better maintenance and cleanliness,Walking trails,Safety and security,No,Electric vehicle charging stations,Neutral,Rarely,Neutral,Language learning programs,Improve customer service
18-35 ,Female,Mysuru,Good,Somewhat safe,Comfortable seating areas,No,A few times a week,Satisfied,"Cleaner, more comfortable vehicles",Sometimes,Better maintenance and cleanliness,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Satisfied,Quarterly,Satisfied,E book access,Increase transparency
36-50 ,Male,Hyderabad,Excellent,Somewhat unsafe,Baby-changing facilities,No,A few times a week,Unsatisfied,More frequent buses/trains,Yes,Better maintenance and cleanliness,Picnic area,Accessibility and inclusivity,No,Sports equipment rentals,Neutral,Quarterly,Neutral,E book access,Improve customer service
18-35 ,Male,Kanakapura,Good,Neutral,Accessible facilities for people with disabilities,No,Once a week,Neutral,"Cleaner, more comfortable vehicles",No,Increased programming and events,Picnic area,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Neutral,Quarterly,Satisfied,Language learning programs,Improve customer service
18-35 ,Male,Palamaner,Good,Neutral,Free Wi-Fi,No,Once a week,Very unsatisfied,"Cleaner, more comfortable vehicles",Yes,More amenities,Picnic area,Accessibility and inclusivity,No,Sports equipment rentals,Satisfied,Rarely,Neutral,"DIY workshop(crafting,painting)",Improve customer service
36-50 ,Male,Kanakapura,Fair,Very unsafe,Baby-changing facilities,Yes,Never,Unsatisfied,Reduced fares or free transfers,No,More amenities,Picnic area,Accessibility and inclusivity,No,Sports equipment rentals,Satisfied,Never,Satisfied,E book access,Improve customer service
18-35 ,Female,Kanakapura,Fair,Neutral,Comfortable seating areas,No,A few times a week,Neutral,Reduced fares or free transfers,Yes,More amenities,Picnic area,Lack of amenities,Sometimes,Electric vehicle charging stations,Satisfied,Monthly,Dissatisfied,Language learning programs,Invest in technology
71-95,Male,Bengaluru,Fair,Neutral,Accessible facilities for people with disabilities,No,Never,Neutral,"Cleaner, more comfortable vehicles",Yes,Better maintenance and cleanliness,Restrooms,Safety and security,No,Sports equipment rentals,Neutral,Monthly,Neutral,"DIY workshop(crafting,painting)",Increase transparency
36-50 ,Male,Kanakapura,Excellent,Neutral,Comfortable seating areas,No,Once a week,Unsatisfied,Increased safety and security,Sometimes,Increased programming and events,Walking trails,Maintenance and cleanliness,Yes,Sports equipment rentals,Neutral,Rarely,Neutral,"DIY workshop(crafting,painting)",Invest in technology
36-50 ,Female,Mysuru,Poor,Very safe,Comfortable seating areas,No,Once a week,Satisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Sports facilities,Safety and security,Yes,Electric vehicle charging stations,Neutral,Weekly,Very Satisfied,Language learning programs,Invest in technology
