Timestamp,How old are you?,What is your gender?,Where do you currently live?,How would you rate the overall cleanliness of the public toilets you have used in the past month?,How safe do you feel when using public toilets ?,What features would you like to see in public toilets to make them more comfortable and convenient? ,"Do you have public services like buses, parks , or libraries?","How often do you use public transportation (buses, trains,etc.)?",How satisfied are you with the public transportation in your area?,What changes would you like to see in public transportation?,Do you visit parks in your area?,What would make you more likely to visit local parks?,Which park amenities are most important to you?,What is the most significant issue or concern you face when visiting local parks? ,Do you feel safe using public transportation in your area?,Are there any new service you'd like to see in local parks? ,How satisfied are you with the services and resources offered by local libraries?, How often do you visit the library?,How satisfied are you with local public services overall?,What types of programs or services would you like to see offered at local libraries?, Do you have any suggestions for improving local public services?
2025-03-08 23:14:32.026,18-35 years,Female,palamaner,,,,Yes,A few times a week,Neutral,More frequent buses/trains,Sometimes,Increased programming and events,Picnic area,Maintenance and cleanliness,No,Electric vehicle charging stations,Satisfied,Never,Neutral,"DIY workshop(crafting,painting)",Invest in technology
2025-03-08 23:14:32.614,18-35 years,Female,mysuru,,,,No,Once a week,Unsatisfied,Increased safety and security,No,More amenities,Sports facilities,Accessibility and inclusivity,No,Electric vehicle charging stations,Satisfied,Weekly,Very Dissatisfied,"DIY workshop(crafting,painting)",Improve customer service
2025-03-08 23:15:59.889,36-50 years,Female,palamaner,,,,No,A few times a week,Neutral,More frequent buses/trains,No,More amenities,Walking trails,Crowding and noise,No,Electric vehicle charging stations,Neutral,Rarely,Very Dissatisfied,"DIY workshop(crafting,painting)",Invest in technology
2025-03-08 23:17:21.483,10-18 years,Male,mysuru,,,,Yes,Once a week,Satisfied,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Picnic area,Safety and security,No,Public restrooms,Very Satisfied,Monthly,Neutral,"DIY workshop(crafting,painting)",Increase transparency
2025-03-08 23:17:27.195,51-70 years,Male,Hyderabad,,,,Yes,Everyday,Neutral,Reduced fares or free transfers,Yes,Better maintenance and cleanliness,Sports facilities,Safety and security,Yes,Sports equipment rentals,Dissatisfied,Weekly,Dissatisfied,E book access,Improve customer service
2025-03-08 23:17:43.341,51-70 years,Male,chennai,,,,No,Everyday,Satisfied,Increased safety and security,Sometimes,More amenities,Walking trails,Maintenance and cleanliness,No,Sports equipment rentals,Very dissatisfied,Monthly,Very Dissatisfied,E book access,Improve customer service
2025-03-08 23:18:23.840,51-70 years,Male,Bengaluru,,,,Yes,A few times a week,Satisfied,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Sports facilities,Crowding and noise,Sometimes,Sports equipment rentals,Satisfied,Monthly,Neutral,E book access,Increase transparency
2025-03-08 23:18:36.757,51-70 years,Female,chennai,,,,No,Once a week,Satisfied,"Cleaner, more comfortable vehicles",No,More amenities,Sports facilities,Lack of amenities,Sometimes,Public restrooms,Very Satisfied,Quarterly,Neutral,E book access,Invest in technology
2025-03-08 23:19:17.606,18-35 years,Female,chennai,,,,Yes,Once a week,Unsatisfied,Reduced fares or free transfers,No,Improved lighting and safety,Sports facilities,Accessibility and inclusivity,Yes,Public restrooms,Neutral,Quarterly,Satisfied,Language learning programs,Enhance community engagement
2025-03-08 23:19:42.449,10-18 years,Female,palamaner,,,,No,A few times a week,Neutral,Reduced fares or free transfers,Yes,Increased programming and events,Picnic area,Crowding and noise,Yes,Electric vehicle charging stations,Neutral,Monthly,Very Dissatisfied,E book access,Increase transparency
