Timestamp,Age,Gender,City,How would you rate the overall cleanliness of the public toilets you have used in the past month?,How safe do you feel when using public toilets ?,What features would you like to see in public toilets to make them more comfortable and convenient? ,"Do you have public services like buses, parks , or libraries?","How often do you use public transportation (buses, trains,etc.)?",How satisfied are you with the public transportation in your area?,What changes would you like to see in public transportation?,Do you visit parks in your area?,What would make you more likely to visit local parks?,Which park amenities are most important to you?,What is the most significant issue or concern you face when visiting local parks? ,Do you feel safe using public transportation in your area?,Are there any new service you'd like to see in local parks? ,How satisfied are you with the services and resources offered by local libraries?, How often do you visit the library?,How satisfied are you with local public services overall?,What types of programs or services would you like to see offered at local libraries?, Do you have any suggestions for improving local public services?
14:32.0,18-35 years,Female,palamaner,,,,Yes,A few times a week,Neutral,More frequent buses/trains,Sometimes,Increased programming and events,Picnic area,Maintenance and cleanliness,No,Electric vehicle charging stations,Satisfied,Never,Neutral,"DIY workshop(crafting,painting)",Invest in technology
14:32.6,18-35 years,Female,mysuru,,,,No,Once a week,Unsatisfied,Increased safety and security,No,More amenities,Sports facilities,Accessibility and inclusivity,No,Electric vehicle charging stations,Satisfied,Weekly,Very Dissatisfied,"DIY workshop(crafting,painting)",Improve customer service
15:59.9,36-50 years,Female,palamaner,,,,No,A few times a week,Neutral,More frequent buses/trains,No,More amenities,Walking trails,Crowding and noise,No,Electric vehicle charging stations,Neutral,Rarely,Very Dissatisfied,"DIY workshop(crafting,painting)",Invest in technology
17:21.5,10-18 years,Male,mysuru,,,,Yes,Once a week,Satisfied,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Picnic area,Safety and security,No,Public restrooms,Very Satisfied,Monthly,Neutral,"DIY workshop(crafting,painting)",Increase transparency
17:27.2,51-70 years,Male,Hyderabad,,,,Yes,Everyday,Neutral,Reduced fares or free transfers,Yes,Better maintenance and cleanliness,Sports facilities,Safety and security,Yes,Sports equipment rentals,Dissatisfied,Weekly,Dissatisfied,E book access,Improve customer service
17:43.3,51-70 years,Male,chennai,,,,No,Everyday,Satisfied,Increased safety and security,Sometimes,More amenities,Walking trails,Maintenance and cleanliness,No,Sports equipment rentals,Very dissatisfied,Monthly,Very Dissatisfied,E book access,Improve customer service
18:23.8,51-70 years,Male,Bengaluru,,,,Yes,A few times a week,Satisfied,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Sports facilities,Crowding and noise,Sometimes,Sports equipment rentals,Satisfied,Monthly,Neutral,E book access,Increase transparency
18:36.8,51-70 years,Female,chennai,,,,No,Once a week,Satisfied,"Cleaner, more comfortable vehicles",No,More amenities,Sports facilities,Lack of amenities,Sometimes,Public restrooms,Very Satisfied,Quarterly,Neutral,E book access,Invest in technology
19:17.6,18-35 years,Female,chennai,,,,Yes,Once a week,Unsatisfied,Reduced fares or free transfers,No,Improved lighting and safety,Sports facilities,Accessibility and inclusivity,Yes,Public restrooms,Neutral,Quarterly,Satisfied,Language learning programs,Enhance community engagement
19:42.4,10-18 years,Female,palamaner,,,,No,A few times a week,Neutral,Reduced fares or free transfers,Yes,Increased programming and events,Picnic area,Crowding and noise,Yes,Electric vehicle charging stations,Neutral,Monthly,Very Dissatisfied,E book access,Increase transparency
20:05.4,18-35 years,Male,Bengaluru,,,,Yes,Never,Unsatisfied,Increased safety and security,No,More amenities,Restrooms,Accessibility and inclusivity,No,Electric vehicle charging stations,Very Satisfied,Quarterly,Satisfied,"DIY workshop(crafting,painting)",Improve customer service
20:35.9,10-18 years,Female,Andhra pradesh,,,,No,A few times a week,Unsatisfied,More frequent buses/trains,No,More amenities,Restrooms,Lack of amenities,No,Sports equipment rentals,Dissatisfied,Weekly,Very Satisfied,Language learning programs,Invest in technology
21:26.5,36-50 years,Male,kanakapura,,,,Yes,Never,Neutral,More frequent buses/trains,No,Increased programming and events,Restrooms,Accessibility and inclusivity,Sometimes,Public restrooms,Dissatisfied,Never,Satisfied,E book access,Enhance community engagement
21:38.2,18-35 years,Male,Hyderabad,,,,Yes,Once a week,Unsatisfied,Reduced fares or free transfers,No,Increased programming and events,Walking trails,Lack of amenities,Yes,Sports equipment rentals,Dissatisfied,Weekly,Satisfied,E book access,Increase transparency
22:01.7,10-18 years,Male,mysuru,,,,No,A few times a week,Satisfied,Reduced fares or free transfers,No,Increased programming and events,Playgrounds,Maintenance and cleanliness,No,Public restrooms,Satisfied,Weekly,Neutral,Language learning programs,Invest in technology
22:30.0,18-35 years,Male,Bengaluru,,,,No,Once a week,Neutral,"Cleaner, more comfortable vehicles",Yes,Improved lighting and safety,Restrooms,Maintenance and cleanliness,Sometimes,Electric vehicle charging stations,Satisfied,Quarterly,Satisfied,E book access,Invest in technology
23:00.3,18-35 years,Female,chennai,,,,No,Everyday,Neutral,Increased safety and security,Yes,More amenities,Picnic area,Crowding and noise,No,Electric vehicle charging stations,Very Satisfied,Quarterly,Dissatisfied,Language learning programs,Enhance community engagement
23:16.1,18-35 years,Male,mysuru,,,,Yes,Never,Neutral,Reduced fares or free transfers,Yes,Increased programming and events,Sports facilities,Lack of amenities,No,Electric vehicle charging stations,Neutral,Monthly,Satisfied,"DIY workshop(crafting,painting)",Improve customer service
23:37.4,10-18 years,Female,palamaner,,,,No,Once a week,Satisfied,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Playgrounds,Safety and security,No,Public restrooms,Very dissatisfied,Monthly,Satisfied,Language learning programs,Improve customer service
23:55.2,10-18 years,Male,Hyderabad,,,,No,Once a week,Very satisfied,More frequent buses/trains,Yes,Improved lighting and safety,Walking trails,Lack of amenities,Yes,Public restrooms,Very Satisfied,Quarterly,Very Satisfied,E book access,Invest in technology
